value;areas;bedrooms;spaces;bathrooms
1090000.0;250.0;5.0;4.0;6.0
1850000.0;390.0;5.0;5.0;7.0
1000000.0;280.0;4.0;4.0;4.0
920000.0;300.0;4.0;4.0;3.0
350000.0;75.0;2.0;1.0;2.0
1200000.0;290.0;5.0;4.0;4.0
1890000.0;650.0;5.0;4.0;6.0
650000.0;298.0;2.0;3.0;3.0
380000.0;140.0;2.0;1.0;2.0
1700000.0;400.0;5.0;3.0;5.0
270000.0;68.0;2.0;1.0;2.0
1700000.0;280.0;4.0;2.0;4.0
650000.0;350.0;4.0;3.0;3.0
954000.0;125.0;2.0;2.0;2.0
1200000.0;300.0;5.0;2.0;6.0
1000000.0;300.0;5.0;3.0;4.0
1150000.0;318.0;4.0;4.0;3.0
950000.0;220.0;4.0;3.0;5.0
1600000.0;320.0;5.0;3.0;7.0
300000.0;85.0;2.0;1.0;2.0
950000.0;306.0;3.0;3.0;4.0
690000.0;250.0;4.0;5.0;2.0
310000.0;70.0;2.0;1.0;2.0
1400000.0;315.0;4.0;4.0;5.0
1200000.0;360.0;4.0;4.0;4.0
1500000.0;480.0;8.0;4.0;10.0
750000.0;100.0;3.0;6.0;2.0
700000.0;338.0;5.0;5.0;3.0
1100000.0;400.0;4.0;4.0;4.0
550000.0;278.0;4.0;4.0;3.0
295000.0;70.0;2.0;1.0;2.0
2800000.0;450.0;4.0;4.0;6.0
1400000.0;315.0;4.0;4.0;4.0
580000.0;180.0;3.0;3.0;4.0
650000.0;236.0;5.0;;3.0
1100000.0;338.0;4.0;6.0;5.0
350000.0;90.0;2.0;1.0;2.0
400000.0;418.0;3.0;3.0;1.0
490000.0;94.0;3.0;2.0;1.0
1200000.0;347.0;4.0;4.0;4.0
3200000.0;450.0;5.0;2.0;7.0
800000.0;257.0;4.0;5.0;4.0
600000.0;300.0;3.0;6.0;3.0
1100000.0;305.0;8.0;3.0;3.0
2250000.0;380.0;4.0;4.0;5.0
300000.0;80.0;2.0;1.0;3.0
1666000.0;300.0;4.0;;5.0
1250000.0;266.0;4.0;4.0;5.0
850000.0;400.0;4.0;3.0;2.0
680000.0;128.0;4.0;3.0;4.0
1400000.0;390.0;5.0;4.0;4.0
580000.0;122.0;4.0;4.0;3.0
790000.0;280.0;5.0;3.0;3.0
2800000.0;430.0;5.0;4.0;7.0
630000.0;180.0;3.0;;3.0
1340000.0;315.0;4.0;4.0;5.0
1400000.0;430.0;4.0;4.0;6.0
600000.0;120.0;3.0;6.0;2.0
320000.0;73.0;2.0;1.0;2.0
500000.0;140.0;4.0;4.0;4.0
280000.0;65.0;2.0;1.0;2.0
420000.0;180.0;3.0;2.0;3.0
500000.0;120.0;4.0;3.0;3.0
415000.0;85.0;2.0;2.0;2.0
430000.0;150.0;3.0;4.0;2.0
480000.0;92.0;3.0;1.0;2.0
259700.0;80.0;2.0;1.0;3.0
1000000.0;220.0;5.0;6.0;4.0
320000.0;90.0;2.0;1.0;2.0
1200000.0;317.0;5.0;2.0;6.0
1100000.0;250.0;4.0;4.0;3.0
750000.0;194.0;3.0;2.0;1.0
2200000.0;278.0;5.0;4.0;3.0
690000.0;290.0;5.0;6.0;4.0
950000.0;400.0;4.0;3.0;5.0
990000.0;250.0;4.0;4.0;5.0
160000.0;53.0;2.0;1.0;1.0
300000.0;77.0;2.0;1.0;2.0
250000.0;120.0;2.0;1.0;1.0
1200000.0;250.0;3.0;4.0;4.0
700000.0;301.0;3.0;4.0;2.0
580000.0;187.0;4.0;10.0;3.0
700000.0;300.0;4.0;3.0;3.0
580000.0;250.0;4.0;2.0;3.0
1600000.0;300.0;4.0;4.0;6.0
1660000.0;370.0;5.0;3.0;7.0
450000.0;150.0;3.0;4.0;2.0
640000.0;180.0;5.0;3.0;3.0
1700000.0;390.0;4.0;4.0;5.0
1200000.0;220.0;4.0;4.0;2.0
880000.0;300.0;3.0;2.0;3.0
530000.0;149.0;3.0;2.0;1.0
1300000.0;400.0;3.0;4.0;4.0
